LABEL; TEMPERATURE
Social Democrats/Daonlathaithe Sóisialta; -1.0
Aontú; +0.5
Independents 4 Change/Neamhspleáigh ar son an Athraithe; -1.0
Independent Ireland; +0.5
Néa Dimokratía/Νέα Δημοκρατία; +1.0
Sinaspismós Rizospastikís Aristerás/Συνασπισμός Ριζοσπαστικής Αριστεράς; -2.0
PASOK – Kínima Allagís/ΠΑΣΟΚ – Κίνημα Αλλαγής; -1.5
Kommounistikó Kómma Elládas/Κομμουνιστικό Κόμμα Ελλάδας; -2.0
Ellinikí Lýsi/Ελληνική Λύση; +2.0
Μétopo Evropaikís Realistikís Anypakoís/Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής; -1.5
Plefsi Eleftherias/Πλεύση Ελευθερίας; -1.5
Dimokratikó Patriotikó Kínima “Níki”/Δημοκρατικό Πατριωτικό Κίνημα “Νίκη”; +1.5
Néa Aristerá/Νέα Αριστερά; -1.5
Dimokrátes/Δημοκράτες; 0.0
Foni Logikis/Φωνή λογικής; 0.0
Kosmos/Kόσμος; 0.0
Partido Socialista Obrero Español; -1.5
Partido Popular; +1.5
Coalition Sumar (Movimiento Sumar, Catalunya en Comú, Compromís, Izquierda Unida, Más Madrid, Verdes Equo, Chunta Aragonesista, Iniciativa del Pueblo Andaluz, Nueva Canarias - Bloque Canarista); -2.0
Podemos; -2.0
Vox; +2.0
Coalition Junts i Lliures per Europa (Junts, Demòcrates de Catalunya, Moviment d'Esquerres de Catalunya, et al.); +0.5
Coalition Ahora Repúblicas (Esquerra Republicana de Catalunya, Euskal Herria Bildu, Bloque Nacionalista Galego, Ara Més, et al.); -1.5
Coalition CEUS (Euzko Alderdi Jeltzalea - Partido Nacionalista Vasco, Coalición Canaria, El Pi - Proposta per les Illes Balears, Agrupación Atarrabia - Atarrabia Taldea, Geroa Socialverdes de Navarra en Europa - Geroa Nafarroako Sozialberdeak Europan); +0.5
Se Acabó la Fiesta; +1.5
Rassemblement national; +2.0
Coalition Besoin d'Europe (Renaissance, Modem, Horizons, Parti Radical, Union des démocrates et indépendants); +1.0
Les Écologistes - Europe Ecologie Les Verts; -1.0
Les Républicains; +1.5
La France Insoumise; -2.0
Coalition Réveiller l'Europe (Parti socialiste, Place publique); -1.5
Coalition Gauche Unie (Parti communiste français, Gauche républicaine et socialiste); -2.0
Coalition La France fière (Reconquête!, Centre national des indépendants et paysans); +2.0
Alliance Rurale; +1.5
Parti Animaliste; -1.0
Union Populaire Républicaine; +2.0
Coalition L'Europe ça suffit (Les Patriotes, Via, la voie du peuple); +2.0
Nouveau Parti Anticapitaliste; -2.0
Lega Salvini Premier; +2.0
Partito Democratico; -0.5
Movimento Cinque Stelle; -0.5
Coalition Forza italia - Noi Moderati (Forza Italia, Noi Moderati); +1.5
Fratelli d'Italia; +2.0
Coalition Alleanza Verdi e Sinistra (Europa Verde, Sinistra Italiana); -1.5
Coalition Azione – Siamo Europei (Azione, NOS, Popolari Europeisti e Riformatori, Partito Repubblicano Italiano, Movimento Repubblicani Europei, Team K, et al); +0.5
Südtiroler Volkspartei (Popolare Sudtirolese); +0.5
Coalition Democrazia sovrana popolare (Partito Comunista, Ancora Italia sovrana e popolare); -2.0
Coalition Pace Terra Dignità (MERA25 Italia, Movimento equità territoriale, Partito della Rifondazione Comunista, Lìberos Rispetados Uguales); -2.0
Coalition Stati Uniti d'Europa (+ Europa, Italia Viva, Liberali Democratici Europei, Partito Socialista Italiano, Radicali Italiani, L’Italia c’è); +0.5
Coalition Libertà (Sud Chiama Nord, Movimento per l'Italexit, Sicilia Vera, I civici in movimento – con Pirozzi, Grande Nord, Popolo Veneto, Capitano Ultimo, et al.); +2.0
Dimokratikós Sinagermós/Δημοκρατικός Συναγερμός; +1.0
Anorthotikó Kómma Ergazómenou Laoú/Ανορθωτικό Κόμμα Εργαζόμενου Λαού; -1.5
Dimokratikó Kómma/Δημοκρατικό Κόμμα; +1.0
EDEK Sosialistikó Kómma/ΕΔΕΚ Σοσιαλιστικό Κόμμα; -1.5
Ethnikó Laikó Métopo/Εθνικό Λαϊκό Μέτωπο; +2.0
Independent (Fidias Panayiotou/Φειδίας Παναγιώτου); 0.0
Jaunā Vienotība; +1.0
Sociāldemokrātiskā partija 'Saskaņa'; -1.5
Nacionālā apvienība 'Visu Latvijai!'-'Tēvzemei un Brīvībai/LNNK'; +2.0
Latvijas attīstībai; +0.5
Coalition Zaļo un Zemnieku savienība (Latvijas Zemnieku savienība, Latvijas Sociāldemokrātiskā strādnieku partija, Latvijai un Ventspilij); -0.5
Coalition Apvienotais Saraksts (Latvijas Zaļā Partija, Latvijas Reģionu apvienība, Liepājas Partija); -1.0
Jaunā konservatīvā partija; +1.0
Progresīvie; -1.0
Latvija pirmajā vietā; +1.0
Stabilitātei!; +1.0
Coalition Suverēnā vara (Suverēnā vara, Partija 'Vienoti Latvijai'); +1.5
Apvienība Jaunlatvieši; +1.0
Coalition Centra partija (Centra partija, Latvijas Krievu savienība); 0.0
Tėvynės Sąjunga – Lietuvos Krikščionys Demokratai; +1.0
Lietuvos Socialdemokratų Partija; -1.5
Lietuvos Valstiečių ir Žaliųjų Sąjunga; -0.5
Darbo Partija; -0.5
Liberalų Sąjūdis; +1.0
Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga; +0.5
Laisvės partija; +1.0
Lietuvos Regionų partija; 0.0
Demokratų sąjunga „Vardan Lietuvos“; +0.5
Nacionalinis susivienijimas; +1.5
Laisvė ir Teisingumas; +1.0
Tautos ir Teisingumo Sąjunga (centristai, tautininkai); +1.0
Lietuvos žaliųjų partija; -1.0
Demokratesch Partei/Parti démocratique/Demokratische Partei; +1.0
Chrëschtlech Sozial Vollekspartei/Parti populaire chrétien-social/Christlich Soziale Volkspartei; +0.5
Déi Gréng/Les Verts/Die Grünen; -1.0
Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois/Luxemburger Sozialistische Arbeiterpartei; -1.5
Alternativ Demokratesch Reformpartei/Parti réformiste d'alternative démocratique/Alternative Demokratische Reformpartei; +1.0
Piratepartei Lëtzebuerg/Piratenpartei Luxemburg/Parti pirate du Luxembourg; -0.5
Déi Lénk/La Gauche/Die Linke; -2.0
Kommunistesch Partei vu Lëtzebuerg/Parti Communiste Luxembourgeois/Kommunistische Partei Luxemburgs; -2.0
Volt Lëtzebuerg/Volt Luxembourg/Volt Luxemburg; -0.5
Fokus; 0.0
Déi Konservativ/Les Conservateurs/Die Konservativen; +1.5
Coalition Fidesz – Magyar Polgári Szövetség - Kereszténydemokrata Néppárt; +1.5
Momentum Mozgalom; -0.5
Jobbik - Konzervatívok; +2.0
Mi Hazánk Mozgalom; +2.0
Magyar Kétfarkú Kutyapárt; 0.0
Magyarország Zöld Pártja; -1.0
Mindenki Magyarországa Néppárt; 0.0
Tisztelet és Szabadság Pártja; 0.0
Coalition DK-MSZP-P (Demokratikus Koalíció, Magyar Szocialista Párt, Párbeszéd-Zöldek); -1.5
Második Reformkor; 0.0
Megoldás Mozgalom; 0.0
Partit Laburista/Labour Party; -1.0
Partit Nazzjonalista/Nationalist Party; +1.0
Coalition GL - PvdA (GroenLinks, PvdA); -1.5
Volkspartij voor Vrijheid en Democratie; +1.0
Christen-Democratisch Appèl; +0.5
Forum voor Democratie; +2.0
Democraten 66; -0.5
ChristenUnie; +0.5
Staatkundig Gereformeerde Partij; +1.0
Partij voor de Dieren; -1.0
Partij voor de Vrijheid; +2.0
Socialistische Partij; -2.0
Volt Nederland; -0.5
Juiste Antwoord 2021; 0.0
Nieuw Sociaal Contract; 0.0
BoerBurgerBeweging; +1.5
Österreichische Volkspartei; +1.0
Sozialdemokratische Partei Österreichs; -1.5
Die Freiheitliche Partei Österreichs; +2.0
Die Grünen – Die Grüne Alternative; -1.0
NEOS – Das neue Europa; +0.5
Kommunistische Partei Österreichs – KPÖ Plus; -2.0
Prawo i Sprawiedliwość (Prawo i Sprawiedliwość, Suwerenna Polska); +1.5
Koalicja Obywatelska (Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Partia Zieloni); +0.5
Coalition Lewica (Nowa Lewica, Lewica Razem, Unia Pracy); -2.0
Konfederacja Wolność i Niepodległość (Konfederacja Korony Polskiej, Ruch Narodowy, Nowa Nadzieja, Polska Jest Jedna, Wolnościowcy); +2.0
Coalition Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe (Polskie Stronnictwo Ludowe, Polska2050, Unia Europejskich Demokratów, Wolnościowcy); +0.5
Bezpartyjni Samorządowcy; 0.0
Partido Socialista; -1.5
Aliança Democrática (Partido Social Democrata, Centro Democrático Social-Partido Popular, Partido Popular Monárquico); +1.0
Bloco de Esquerda; -2.0
Coligação Democrática Unitária (Partido Comunista Português, Partido Ecologista “Os Verdes”); -2.0
Pessoas-Animais-Natureza; -1.0
LIVRE; -1.0
Iniciativa Liberal; +1.0
CHEGA; +2.0
Alianța PSD - PNL (Partidul Social Democrat, Partidul Național Liberal); -0.5
Uniunea Democrată Maghiară din România/Romániai Magyar Demokrata Szövetség; +0.5
Alianța pentru Unirea Românilor (Alianța pentru Unirea Românilor, Partidul Național Conservator Român, Partidul Români Pentru România); +2.0
SOS România; +1.5
Alianța Dreapta Unită (Uniunea Salvați România, Partidul Mișcarea Populară, Forța Dreptei); +1.0
ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL; 0.0
Slovenska demokratska stranka; +1.0
Slovenska ljudska stranka; +0.5
Socialni demokrati; -1.5
Nova Slovenija – Krščanski demokrati; +0.5
Stranka Levica; -2.0
Gibanje Svoboda; 0.0
Vesna - zelena stranka; -1.0
Državljansko gibanje Resni.ca; 0.0
Coalition DeSUS - DD (Demokratična stranka upokojencev Slovenije, Dobra država); -0.5
Zeleni Slovenije; -1.0
Smer – sociálna demokracia; -1.5
Kotlebovci - Ľudová strana naše Slovensko; +2.0
Sloboda a Solidarita; +1.0
Progresívne Slovensko; +0.5
Slovenská národná strana; +2.0
Kresťanskodemokratické hnutie; +0.5
Maďarská Aliancia/Magyar Szövetség; +0.5
Hlas – sociálna demokracia; -1.0
Republika; +1.5
Demokrati; 0.0
Coalition S-ZL (Slovensko, Za ľudí); 0.0
Zdravý rozum; +1.0
Kansallinen Kokoomus/Samlingspartiet; +1.0
Vihreä liitto/Gröna Förbundet; -1.0
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti; -1.5
Perussuomalaiset/Sannfinländarna; +2.0
Suomen Keskusta/Centern i Finland; -0.5
Vasemmistoliitto/Vänsterförbundet; -2.0
Svenska folkpartiet i Finland/Suomen ruotsalainen kansanpuolue; +1.0
Suomen Kristillisdemokraatit - Liike Nyt/Finlands Kristdemokrater - Rörelse.nu; +0.5
Socialdemokraterna; -1.5
Moderaterna; +1.0
Sverigedemokraterna; +2.0
Miljöpartiet de gröna; -1.0
Centerpartiet; +0.5
Kristdemokraterna; +0.5
Vänsterpartiet; -2.0
Liberalerna; +1.0
Hrvatska demokratska zajednica; +1.0
Koalicija 'SDP' (Socijaldemokratska partija Hrvatske, Centar, Dalija Orešković I Ljudi S Imenom I Prezimenom, Građansko-Liberalni Savez, Hrvatska seljačka stranka); -1.0
Coalition Istarski demokratski sabor - Dieta democratica Istriana (Demokrati, Hrvatska Narodna Stranka - Liberalni Demokrati, Hrvatska socijalno-liberalna stranka, Istarski demokratski sabor - Dieta democratica Istriana, Istarska Stranka Umirovljenika - Partito Istriano Dei Pensionati, Nezavisna Platforma Sjevera, Narodna stranka - Reformisti, Primorsko Goranski Savez, Lista Za Rijeku, Socijaldemokrati, Samostalna demokratska srpska stranka, Unija Kvarnera); -0.5
Domovinski pokret; +1.5
Možemo! – Politička platforma; -1.5
