LABEL; TEMPERATURE
Nationaldemokratische Partei Deutschlands; +2.0
Familien-Partei Deutschlands; +0.5
Ökologisch-Demokratische Partei; -1.0
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative; 0.0
VOLT; -0.5
Eesti Reformierakond; +1.0
Eesti Keskerakond; -0.5
Isamaa Erakond; +1.0
Sotsiaaldemokraatlik Erakond; -1.5
Erakond Eestimaa Rohelised; -1.0
Eesti Konservatiivne Rahvaerakond; +2.0
Erakond Eesti 200; +0.5
Elurikkuse Erakond; -1.0
Fianna Fáil Party; +0.5
Fine Gael Party; +1.0
Labour Party; -1.0
Green Party; -1.0
Sinn Féin; -1.5
Independents; 0.0
Social Democrats; -1.5
Independents 4 Change; -1.5
Νέα Δημοκρατία/New Democracy; +1.0
Coalition Κίνημα Αλλαγής/Movement for Change (Πανελλήνιο Σοσιαλιστικό Κίνημα + Δημοκρατική Συμπαράταξη + Κίνημα Δημοκρατών Σοσιαλιστών / Panhellenic Socialist Movement + Democratic Alignment + Movement of Democratic Socialists); -1.5
Κομμουνιστικό Κόμμα Ελλάδας/Communist Party of Greece; -2.0
Συνασπισμός Ριζοσπαστικής Αριστεράς/Coalition of the Radical Left; -2.0
Χρυσή Αυγή/Golden Dawn; +2.0
Ανεξάρτητοι Έλληνες/Independent Greeks; +1.5
Ένωση Κεντρώων / Union of Centrists; 0.0
Λαϊκή Ενότητα-Μέτωπο ανατροπής / Popular Unity; -2.0
Ελληνική Λύση / Greek Solution; +2.0
Το Ποτάμι/The River; -0.5
Πλεύση Ελευθερίας /Course of Freedom; -1.5
Αντικαπιταλιστική Αριστερή Συνεργασία για την Ανατροπή/Front of the Greek Anticapitalist Left; -2.0
Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής /European Realistic Disobedience Front; -1.5
Οικολόγοι Πράσινοι/Ecologist Greens; -1.0
Partido Socialista Obrero Español + Partido de los Socialistas de Cataluña; -1.5
Partido Popular; +1.5
Coalition Unidas Podemos Cambiar Europa (Unidas Podemos + Izquierda Unida + Catalunya en Comú + Barcelona en Comú); -2.0
Coalition por una Europa Solidaria (Euzko Alderdi Jeltzalea - Partido Nacionalista Vasco + Coalición Canaria + Compromiso por Galicia + Atarrabia Taldea + Proposta per les Illes Balears y Demòcrates Valencians); +0.5
Ciudadanos - Partido de la Ciudadanía; +1.0
Coal LLIURES PER EUROPA (JUNTS) (Partit Demòcrata Europeu Català  + Junts per Catalunya); +0.5
VOX; +2.0
Coalition Ahora Repúblicas (Esquerra Republicana de Catalunya + Euskal Herria Bildu + El Bloque Nacionalista Galego); -1.5
Coalition Compromiso por Europa (Compromís + En Marea +Chunta Aragonesista + Partido Castellano + Coalición Caballas + Nueva Canarias + Més per Mallorca + Coalición por Melilla + Iniciativa del Pueblo Andaluz + Izquierda Andalucista + Verdes de Europa); -1.0
Partido Animalista Contra el Maltrato Animal; -1.0
France insoumise; -2.0
Coalition Envie d'Europe écologique et sociale (Parti Socialiste + Radicaux de Gauche + Place publique + Nouvelle Donne); -1.5
Europe écologie-Les verts; -1.0
Les Républicains - Union de la droite et du centre; +1.5
Rassemblement national; +2.0
Debout la France + CNIP; +1.5
Coalition Renaissance (La Republique En marche! + MoDem + Agir + Mouvement radical, social et libéral); +1.0
Parti communiste français; -2.0
Union des Démocrates et Indépendants; +0.5
Generation.s; -1.0
Lega Salvini Premier; +2.0
Partito Democratico (con Siamo Europei); -0.5
Forza Italia; +1.5
Fratelli d'Italia; +2.0
Movimento Cinque Stelle; -0.5
Coalition +Europa (+ Europa - Italia in Comune - Partito Democratico Europeo).; +0.5
Coalition La Sinistra (Sinistra italiana + Rifondazione comunista + Altra Europa con Tsipras + Partito del Sud + Transform Itali + Convergenza Socialista); -2.0
Südtiroler Volkspartei (Partito popolare sudtirolese); +0.5
Coalition Federazione dei Verdi (Verdi + Possibile + Green Italia et al.).; -1.0
Δημοκρατικός Συναγερμός/Democratic Rally; +1.0
Ανορθωτικό Κόμμα Εργαζόμενου Λαού/Progressive Party of Working People; -1.5
Δημοκρατικό Κόμμα/Democratic Party; +1.0
ΕΔΕΚ Κίνημα Σοσιαλδημοκρατών/Movement for Social Democrats EDEK; -1.5
Εθνικό Λαϊκό Μέτωπο/National Popular Front; +2.0
Συμμαχία Πολιτών-Κίνημα Οικολόγων/Citizens Alliance-Movement of Ecologist; -1.0
Δημοκρατική Παράταξη / Democratic Alingment; -1.0
Jaunā Vienotība; +1.0
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!); +2.0
Saskaņa Sociāldemokrātiskā partija; -1.5
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija); -0.5
Latvijas Reģionu apvienība; +0.5
Kam pieder valsts?; 0.0
Jaunā konservatīvā partija; +1.0
Coalition AP! (Latvijas attīstībai + Kustība Par!); +0.5
Latvijas Krievu savienībā; +0.5
Rīcības partija; 0.0
Progresīvie; -1.0
Latvijas Sociāldemokrātiskā strādnieku partija; -1.5
Latviešu Nacionālisti; +2.0
Jaunā Saskaņa; -1.0
Centra partija; 0.0
Coalition Atmoda; +1.0
Darbo partija; -0.5
Lietuvos lenkų rinkimų akcija - krikščioniškų šeimų sąjunga; +0.5
Lietuvos Respublikos liberalų sąjūdis; +1.0
Lietuvos socialdemokratų partija; -1.5
Lietuvos Valstiečių ir Žaliųjų Sąjunga; -0.5
Partija Tvarka ir teisingumas; +1.5
Tėvynės sąjunga - Lietuvos krikščionys demokratai; +1.0
Lietuvos Centro Partija; 0.0
Lietuvos socialdemokratų darbo partija; -1.5
Lietuvos žaliųjų partija; -1.0
Lietuvos laisvės sąjunga (liberalai); +1.0
Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys“; 0.0
Visuomeninis rinkimų komitetas „Prezidento Rolando Pakso judėjimas“; +1.0
Visuomeninis rinkimų komitetas „Vytautas Radžvilas: susigrąžinkime valstybę!“; +1.0
Déi Gréng/Les Verts; -1.0
Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois; -1.5
Demokratesch Partei/Parti démocratique; +1.0
Déi Lénk/La gauche; -2.0
Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social; +0.5
Alternativ Demokratesch Reformpartei/Parti alternatif et démocratique de réformes; +1.0
Piratepartei/Parti pirate; -0.5
Kommunistesch Partei vu Lëtzebuerg/Parti Communiste Luxembourgeois; -2.0
Déi Konservativ/Les Conservateurs; +1.5
Volt; -0.5
Demokratikus Koalíció; -0.5
Coalition (FIDESZ - Magyar Polgári Szövetség + Kereszténydemokrata Néppárt); +1.5
Jobbik Magyarországért Mozgalom; +2.0
Lehet Más a Politika; -1.0
Magyar Kétfarkú Kutyapárt; 0.0
Momentum Mozgalom; -0.5
Coaltion (Magyar Szocialista Párt + Párbeszéd Magyarországért); -1.5
Mi Hazánk Mozgalom; +2.0
Partit Nazzjonalista/Nationalist Party; +1.0
Partit Laburista/Malta Labour Party; -1.0
Alternattiva Demokratika/Democratic Alternative; -1.0
Partit Demokratiku/Democratic Party; +0.5
Christen-Democratisch Appèl; +0.5
Partij van de Arbeid; -1.5
Socialistische Partij; -2.0
Volkspartij voor Vrijheid en Democratie; +1.0
GroenLinks; -1.5
Partij voor de Vrijheid; +2.0
Democraten 66; -0.5
Partij voor de Dieren; -1.0
ChristenUnie - Staatkundig Gereformeerde Partij; +0.5
50Plus; 0.0
DENK; -1.0
Forum voor Democratie; +2.0
Sozialdemokratische Partei Österreich; -1.5
Österreichische Volkspartei; +1.0
Freiheitliche Partei Österreichs; +2.0
Die Grünen - Die Grüne Alternative; -1.0
NEOS - Das neue Österreich; +0.5
JETZT - Liste Pilz; -1.0
Prawo i Sprawiedliwość; +1.5
Konfederacja KORWiN Braun Liroy Narodowcy; +2.0
Kukiz'15; +1.5
Wiosna Roberta Biedronia; -1.5
Coalition Koalicja Europejska (Platforma Obywatelska + Polskie Stronnictwo Ludowe + Sojusz Lewicy Demokratycznej + Nowoczesna + Partia Zieloni); +0.5
Polska Fair Play Bezpartyjni Gwiazdowski; 0.0
Coalition Lewica Razem (Partia Razem + Unia Pracy + Ruch Sprawiedliwości Społecznej); -2.0
Bloco de Esquerda; -2.0
Coligação Democrática Unitária (Partido Comunista Português + Partido Ecologista os Verdes); -2.0
Partido Socialista; -1.5
Partido Social Democrata; +1.0
CDS - Partido Popular; +1.5
Pessoas–Animais–Natureza; -1.0
Aliança; +0.5
Partidul Social Democrat; -1.0
Alianța Liberalilor și Democraților; +1.0
Partidul Naţional Liberal; +1.0
Romániai Magyar Demokrata Szövetség/Uniunea Democrată Maghiară din România; +0.5
Partidul Mișcarea Populară; +1.0
Partidul Pro Romania; -0.5
Coalition 2020 USR + PLUS Alliance (Uniunea Salvați România + Partidul Libertății, Unității și Solidarității); +1.0
Coalition (Slovenska demokratska stranka + Slovenska ljudska stranka); +1.0
Socialni demokrati; -1.5
Demokratična stranka upokojencev Slovenije; -0.5
Nova Slovenija; +0.5
Slovenska Nacionalna Stranka; +2.0
Stranka modernega centra; 0.0
Stranka alenke bratušek; -1.0
LEVICA; -2.0
Lista Marjana Šarca; 0.0
Domovinska Liga; +1.5
Povežimo se; 0.0
Dobra Država; +1.0
ZSI - Gibanje Zedinjena Slovenija; -1.0
Zeleni Slovenije; -1.0
Kresťanskodemokratické hnutie; +0.5
Sloboda a Solidarita; +1.0
Slovenská národná strana; +2.0
SMER - Sociálna demokracia; -1.5
Strana mad'arskej komunity - Magyar Közösség Pártja; +0.5
Coalition (Obyčajní Ľudia a nezávislé osobnosti + Nová väčšina - Dohoda); +0.5
Most-Híd; +0.5
Kotleba - Ľudová strana Naše Slovensko; +2.0
SME RODINA - Boris Kollár; +1.5
Coalition (Progresívne Slovensko + SPOLU - občianska demokracia); +0.5
Kresťanská únia; +0.5
Kresťanská demokracia - Život a prosperita; +1.0
Suomen Keskusta; -0.5
Kansallinen Kokoomus; +1.0
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti; -1.5
Vasemmistoliitto; -2.0
Vihreä liitto; -1.0
Svenska folkpartiet (Ruotsalainen kansanpuolue); +1.0
Perussuomalaiset; +2.0
Suomen Kristillisdemokraatit; +0.5
Sininen tulevaisuus; +1.5
Piraattipuolue; -0.5
Vänsterpartiet; -2.0
Socialdemokraterna; -1.5
Centerpartiet; +0.5
Liberalerna; +1.0
Moderaterna; +1.0
Kristdemokraterna; +0.5
Miljöpartiet de Gröna; -1.0
Sverigedemokraterna; +2.0
Feministiskt Initiativ; -1.5
Democratic Unionist Party; +1.5
Ulster Unionist Party; +1.5
Social Democratic & Labour Party; -1.0
Traditional Unionist Voice; +2.0
Alliance Party; 0.0
Conservative and Unionist Party; +1.5
United Kingdom Independence Party; +2.0
Scottish National Party; -0.5
Plaid Cymru - Party of Wales; -0.5
Liberal Democrats; +0.5
Green Party; -1.0
Change UK; 0.0
Brexit Party; +2.0
Other parties Northern Ireland; 0.0
Other parties Great Britain; 0.0
Hrvatska demokratska zajednica; +1.0
Socijaldemokratska partija Hrvatske; -1.0
Hrvatska narodna stranka; +0.5
Most nezavisnih lista; +0.5
Coalition (Pametno + Unija Kvarnera coalition); -0.5
Živi zid; +1.5
Bandić Milan 365 - Stranka rada i solidarnosti; -0.5
Coalition (Neovisni za Hrvatsku + Hrvatska Stranka Prava); +2.0
Stranka antikorupcije, razvoja i transparentnosti; 0.0
Coalition Hrvatski suverenisti (HRAST - Pokret za uspješnu Hrvatsku + Hrvatska konzervativna stranka - HKS + Hrvatska stranka prava de. Ante Starrčević - HSP AS + Ujedinjeni hrvatski domoljubi - UHD); +2.0
Coalition Amsterdamska koalicija (Hrvatski laburisti + Primorsko goranski savez + Hrvatska stranka umirovljenika + Istarski demokratski sabor + Hrvatska seljačka stranka + Građansko-liberalni savez + Demokrati); +0.5
Coalition Zelena ljevica (Možemo! - politička platforma + Nova ljevica + Održivi razvoj Hrvatske - ORaH); -1.5
Independent Mislav Kolakušić; 0.0
Independent Marijana Petir; 0.0
