LABEL; TEMPERATURE
Ανεξάρτητοι Έλληνες; +1.5
Συνασπισμός Ριζοσπαστικής Αριστεράς; -2.0
Κομμουνιστικό Κόμμα Ελλάδας; -2.0
Χρυσή Αυγή; +2.0
Coalición por Europa (Convergència Democràtica de Catalunya + Partido Nacionalista Vasco + Unió Democràtica de Catalunya + Coalición Canarias + Compromiso por Galicia); +0.5
Partido Popular; +1.5
Partido Socialista Obrero Español + Partit dels Socialistes de Catalunya; -1.5
Ciudadanos - Partido de la Ciudadanía; +1.0
Unión Progreso y Democracia; +0.5
Coalition Los Pueblos Deciden (El Bloque Nacionalista Galego + Euskal Herria Bildu + et al.); -1.0
Por la Democracia Social; -1.0
Coalition Izquierda Plural (Izquierda Unida + Iniciativa per Catalunya Verds + Anova Nationalist Brotherhood + et al.); -2.0
Coalition Primavera Europea (Compromís + Equo + Cha + et al.); -1.0
Coalition 'La Izquierda por el derecho a Decidir' (Esquerra Republicana de Catalunya + Nova Esquerra Catalana+ Independientes + et al.); -1.5
Union pour un Mouvement Populaire; +1.0
Parti Socialiste - Parti radical de gauche; -1.5
Coalition l'Alternative (Union des Démocrates et Indépendants + Mouvement Démocrate); +0.5
Union pour les Outre-Mer; 0.0
Coalition Front de gauche (Parti Communiste Français + Parti de Gauche + Ensemble + Front de gauche); -2.0
Europe Ecologie; -1.0
Independent; 0.0
Front national; +2.0
Hrvatska demokratska zajednica (EPP) + Hrvatska stranka prava dr. Ante Starčević (ECR) + HSS Hrvatska seljačka stranka (EPP); +1.0
Socijaldemokratska partija Hrvatske + Hrvatska narodna stranka + Istarski demokratski sabor; -1.0
Održivi razvoj Hrvatske; -0.5
Südtiroler Volkspartei (Partito popolare sudtirolese); +0.5
Coalition Nuovo Centrodestra + Unión de Centro Democrático + Popolari per l'Italia; +1.0
Forza Italia; +1.5
Partito Democratico; -0.5
L’Altra Europa – Con Tsipras; -2.0
Movimento Cinque Stelle; -0.5
Lega Nord; +2.0
Δημοκρατικός Συναγερμός; +1.0
ΕΔΕΚ Κίνημα Σοσιαλδημοκρατών; -1.5
Δημοκρατικό Κόμμα; +1.0
Ανορθωτικό Κόμμα Εργαζόμενου Λαού; -1.5
Partija 'VIENOTĪBA'; +1.0
Saskaņa sociāldemokrātiskā partija; -1.5
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!); +2.0
Latvijas Krievu savienībā; +0.5
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija); -0.5
Tėvynės sąjunga - Lietuvos krikščionys demokratai; +1.0
Lietuvos socialdemokratų partija; -1.5
Lietuvos lenkų rinkimų akcija; +0.5
Darbo partija; -0.5
Lietuvos Valstiečių ir Žaliųjų Sąjunga; -0.5
Partija Tvarka ir teisingumas; +1.5
Lietuvos Respublikos liberalų sąjūdis; +1.0
Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social; +0.5
Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois; -1.5
Demokratesch Partei/Parti démocratique; +1.0
déi gréng/les verts; -1.0
Fidesz-Magyar Polgári Szövetség - Kereszténydemokrata Néppárt; +1.5
Demokratikus Koalíció; -0.5
Magyar Szocialista Párt; -1.5
Lehet Más a Politika; -1.0
Együtt2014 - Párbeszéd Magyarországért; -1.0
Jobbik Magyarországért Mozgalom; +2.0
Partit Nazzjonalista; +1.0
Partit Laburista; -1.0
Christen-Democratisch Appèl; +0.5
Partij van de Arbeid; -1.5
ChristenUnie - Staatkundig Gereformeerde Partij; +0.5
Volkspartij voor Vrijheid en Democratie; +1.0
Democraten 66; -0.5
Partij voor de Dieren; -1.0
Socialistische Partij; -2.0
Groenlinks; -1.5
Partij voor de Vrijheid; +2.0
Österreichische Volkspartei; +1.0
Sozialdemokratische Partei Österreichs; -1.5
Das neue Österreich; 0.0
Die Grünen - Dei Grüne Alternative; -1.0
Freiheitliche Partei Österreichs; +2.0
Polskie Stronnictwo Ludowe; -0.5
Platforma Obywatelska; +1.0
Coalition Sojusz Lewicy Demokratycznej + Unia Pracy; -1.5
Prawo i Sprawiedliwość; +1.5
Kongres Nowej Prawicy; +2.0
Coalition Aliança Portugal (Partido Social Democrata + Centro Democrático Social/Partido Popular); +1.0
Partido Socialista; -1.5
Partido da Terra; -1.0
Bloco de Esquerda; -2.0
Coligação Democrática Unitária (Partido Comunista Português + Partido Ecologista os Verdes); -2.0
Partidul Mișcarea Populară; +1.0
Uniunea Democrată Maghiară din România; +0.5
Partidul Democrat Liberal; +1.0
Partidul Naţional Liberal; +1.0
Coalition Partidul Social Democrat + Partidul Conservator + Uniunea Nationala pentru Progresul Romaniei; -1.0
Ind. Mircea Diaconu; 0.0
Coalition Nova Slovenija + Slovenska ljudska stranka; +0.5
Slovenska demokratska stranka; +1.0
Socialni demokrati; -1.5
Demokratična stranka upokojencev Slovenije; -0.5
Verjamem; 0.0
Most-Híd; +0.5
Strana mad'arskej komunity - Magyar Közösség Pártja; +0.5
Slovenská demokratická a kresťanská únia - Demokratická strana; +1.0
Kresťanskodemokratické hnutie; +0.5
SMER - Sociálna demokracia; -1.5
Nová väčšina - Dohoda; 0.0
Obyčajní Ľudia a nezávislé osobnosti; +0.5
Sloboda a Solidarita; +1.0
Kansallinen Kokoomus/Samlingspartiet; +1.0
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti; -1.5
Perussuomalaiset/Sannfinländarna; +2.0
Svenska folkpartiet i Finland/Suomen ruotsalainen kansanpuolue; +1.0
Suomen Keskusta/Centern i Finland; -0.5
Vasemmistoliitto/Vänsterförbundet; -2.0
Vihreä liitto/Gröna förbundet; -1.0
Kristdemokraterna; +0.5
Moderata Samlingspartiet; +1.0
Feministiskt initiativ; -1.5
Arbetarepartiet–Socialdemokraterna; -1.5
Centerpartiet; +0.5
Folkpartiet liberalerna; +1.0
Vänsterpartiet; -2.0
Miljöpartiet de gröna; -1.0
Sverigedemokraterna; +2.0
Labour Party; -1.0
Ulster Unionist Party; +1.5
Conservative Party; +1.5
Liberal Democrats; +0.5
Sinn Fein; -1.5
Plaid Cymru - Party of Wales; -0.5
Scottish National Party; -0.5
Green Party; -1.0
United Kingdom Independence Party; +2.0
Democratic Unionist Party; +1.5
Other parties Northern Ireland; 0.0
Other parties Great Britain; 0.0
Green Party of England and Wales; -1.0
