LABEL;name;VOTES_PERCENT;TEMPERATURE;WEIGHTED_TEMP
Coligação Democrática Unitária (Partido Comunista Português + Partido Ecologista os Verdes);Portugal;13.71;-2.0;-27.42
Conservative Party;;23.31;1.5;34.964999999999996
Conservative Party;;23.93;1.5;35.894999999999996
Conservative Party;United Kingdom;23.31;1.5;34.964999999999996
Conservative Party;United Kingdom;23.93;1.5;35.894999999999996
Dansk Folkeparti;Denmark;26.6;2.0;53.2
Darbo partija;Lithuania;12.81;-0.5;-6.405
Das neue Österreich;Austria;8.14;0.0;0.0
Democraten 66;Netherlands;15.48;-0.5;-7.74
Democratic Unionist Party;;0.54;1.5;0.81
Democratic Unionist Party;;20.95;1.5;31.424999999999997
Democratic Unionist Party;Nicaragua;0.54;1.5;0.81
Democratic Unionist Party;Nicaragua;20.95;1.5;31.424999999999997
Demokratesch Partei/Parti démocratique;Luxembourg;14.77;1.0;14.77
Demokratikus Koalíció;Hungary;9.75;-0.5;-4.875
Demokratična stranka upokojencev Slovenije;Slovenia;8.14;-0.5;-4.07
Die Grünen - Dei Grüne Alternative;Austria;14.52;-1.0;-14.52
Die Linke;Germany;7.4;-2.0;-14.8
Ecologistes Confédérés pour l'Organisation de Luttes Originales ;Belgium;11.69;;
Ecologistes Confédérés pour l'Organisation de Luttes Originales ;Belgium;4.26;;
Ecologistes Confédérés pour l'Organisation de Luttes Originales ;;11.69;;
Ecologistes Confédérés pour l'Organisation de Luttes Originales ;;4.26;;
Eesti Keskerakond;Estonia;22.4;-0.5;-11.2
Eesti Reformierakond;Estonia;24.3;1.0;24.3
Együtt2014 - Párbeszéd Magyarországért;Hungary;7.25;-1.0;-7.25
Erakond Isamaa ja Res Publica Liit;Estonia;13.9;1.0;13.9
Europe Ecologie;France;8.95;-1.0;-8.95
FREIE WÄHLER;Germany;1.5;0.5;0.75
Familien-Partei Deutschlands;Germany;0.7;0.5;0.35
Feministiskt initiativ;Sweden;5.49;-1.5;-8.235
Fianna Fáil;Ireland;22.31;0.5;11.155
Fidesz-Magyar Polgári Szövetség - Kereszténydemokrata Néppárt;Hungary;51.48;1.5;77.22
Fine Gael;Ireland;22.28;1.0;22.28
Folkebevægelsen mod EU;Denmark;8.1;-1.0;-8.1
Folkpartiet liberalerna;Sweden;9.91;1.0;9.91
Forza Italia;Italy;16.81;1.5;25.214999999999996
Freie Demokratische Partei;Germany;3.4;1.0;3.4
Freiheitliche Partei Österreichs;Austria;19.72;2.0;39.44
Front national;France;24.86;2.0;49.72
Green Party;;7.67;-1.0;-7.67
Green Party;;7.87;-1.0;-7.87
Green Party of England and Wales;United Kingdom;7.67;-1.0;-7.67
Green Party of England and Wales;United Kingdom;7.87;-1.0;-7.87
Groen;Belgium;6.69;-1.0;-6.69
Groen;Belgium;10.62;-1.0;-10.62
Groen;;6.69;-1.0;-6.69
Groen;;10.62;-1.0;-10.62
Groenlinks;Netherlands;6.98;-1.5;-10.47
Hrvatska demokratska zajednica (EPP) + Hrvatska stranka prava dr. Ante Starčević (ECR) + HSS Hrvatska seljačka stranka (EPP);Croatia;41.42;1.0;41.42
Ind. Mircea Diaconu;Romania;6.81;0.0;0.0
Independent;France;0.0;0.0;0.0
Independents + other parties;Ireland;25.64;0.0;0.0
Indrek Tarand (Independent);Estonia;13.2;0.0;0.0
Jobbik Magyarországért Mozgalom;Hungary;14.67;2.0;29.34
Kansallinen Kokoomus/Samlingspartiet;Finland;22.6;1.0;22.6
Komunistická strana Čech a Moravy;Czechia;10.98;-2.0;-21.96
Kongres Nowej Prawicy;Poland;7.15;2.0;14.3
Kresťanskodemokratické hnutie;Slovakia;13.21;0.5;6.605
Kristdemokraterna;Sweden;5.93;0.5;2.965
Labour Party;;24.74;-1.0;-24.74
Labour Party;;25.4;-1.0;-25.4
Labour Party;United Kingdom;24.74;-1.0;-24.74
Labour Party;United Kingdom;25.4;-1.0;-25.4
Latvijas Krievu savienībā;Latvia;6.38;0.5;3.19
Lega Nord;Italy;6.15;2.0;12.3
Lehet Más a Politika;Hungary;5.04;-1.0;-5.04
Liberal Democrats;;6.69;0.5;3.345
Liberal Democrats;;6.87;0.5;3.435
Liberal Democrats;United Kingdom;6.69;0.5;3.345
Liberal Democrats;United Kingdom;6.87;0.5;3.435
Lietuvos Respublikos liberalų sąjūdis;Lithuania;16.55;1.0;16.55
Lietuvos Valstiečių ir Žaliųjų Sąjunga;Lithuania;6.61;-0.5;-3.305
Lietuvos lenkų rinkimų akcija;Lithuania;8.05;0.5;4.025
Lietuvos socialdemokratų partija;Lithuania;17.26;-1.5;-25.89
Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois;Luxembourg;11.73;-1.5;-17.595
L’Altra Europa – Con Tsipras;Italy;4.03;-2.0;-8.06
Magyar Szocialista Párt;Hungary;10.9;-1.5;-16.35
Miljöpartiet de gröna;Sweden;15.41;-1.0;-15.41
Moderata Samlingspartiet;Sweden;13.65;1.0;13.65
Most-Híd;Slovakia;5.83;0.5;2.915
Mouvement Réformateur;Belgium;27.1;1.0;27.1
Mouvement Réformateur;Belgium;9.88;1.0;9.88
Mouvement Réformateur;;27.1;1.0;27.1
Mouvement Réformateur;;9.88;1.0;9.88
Movimento Cinque Stelle;Italy;21.15;-0.5;-10.575
Nationaldemokratische Partei Deutschlands;Germany;1.0;2.0;2.0
Nieuw-Vlaamse Alliantie;Belgium;16.79;1.5;25.185
Nieuw-Vlaamse Alliantie;Belgium;26.67;1.5;40.005
Nieuw-Vlaamse Alliantie;;16.79;1.5;25.185
Nieuw-Vlaamse Alliantie;;26.67;1.5;40.005
Nová väčšina - Dohoda;Slovakia;6.83;0.0;0.0
Obyčajní Ľudia a nezávislé osobnosti;Slovakia;7.46;0.5;3.73
Občanská demokratická strana;Czechia;7.67;1.0;7.67
Održivi razvoj Hrvatske;Croatia;9.42;-0.5;-4.71
Open Vlaamse Liberalen en Democraten;Belgium;12.84;1.0;12.84
Open Vlaamse Liberalen en Democraten;Belgium;20.4;1.0;20.4
Open Vlaamse Liberalen en Democraten;;12.84;1.0;12.84
Open Vlaamse Liberalen en Democraten;;20.4;1.0;20.4
Other parties;Bulgaria;16.29;0.0;0.0
Other parties;Czechia;19.91;0.0;0.0
Other parties;Denmark;2.9;0.0;0.0
Other parties;Germany;1.8;0.0;0.0
Other parties;Ireland;10.25;0.0;0.0
Other parties;Estonia;12.6;0.0;0.0
Other parties;;17.13;0.0;0.0
Other parties;Spain;9.79;0.0;0.0
Other parties;France;15.13;0.0;0.0
Other parties;Croatia;19.23;0.0;0.0
Other parties;Italy;6.17;0.0;0.0
Other parties;Cyprus;16.76;0.0;0.0
Other parties;Latvia;11.88;0.0;0.0
Other parties;Lithuania;7.04;0.0;0.0
Other parties;Luxembourg;20.83;0.0;0.0
Other parties;Hungary;0.91;0.0;0.0
Other parties;Malta;6.59;0.0;0.0
Other parties;Netherlands;6.14;0.0;0.0
Other parties;Austria;6.55;0.0;0.0
Other parties;Poland;12.7;0.0;0.0
Other parties;Portugal;9.68;0.0;0.0
Other parties;Romania;15.85;0.0;0.0
Other parties;Slovenia;31.94;0.0;0.0
Other parties;Slovakia;21.64;0.0;0.0
Other parties;Finland;7.1;0.0;0.0
Other parties;Sweden;2.96;0.0;0.0
Other parties Great Britain;;5.47;0.0;0.0
Other parties Great Britain;;5.27;0.0;0.0
Other parties Great Britain;United Kingdom;5.47;0.0;0.0
Other parties Great Britain;United Kingdom;5.27;0.0;0.0
Other parties Northern Ireland;;0.71;0.0;0.0
Other parties Northern Ireland;;40.2;0.0;0.0
Other parties Northern Ireland;Nicaragua;0.71;0.0;0.0
Other parties Northern Ireland;Nicaragua;40.2;0.0;0.0
Other parties from Dutch-speaking electoral college;Belgium;5.99;0.0;0.0
Other parties from Dutch-speaking electoral college;Belgium;2.41;0.0;0.0
Other parties from Dutch-speaking electoral college;;5.99;0.0;0.0
Other parties from Dutch-speaking electoral college;;2.41;0.0;0.0
Other parties from French-speaking electoral college;Belgium;20.56;0.0;0.0
Other parties from French-speaking electoral college;Belgium;0.4;0.0;0.0
Other parties from French-speaking electoral college;;20.56;0.0;0.0
Other parties from French-speaking electoral college;;0.4;0.0;0.0
Other parties from German-speaking electoral college;Belgium;3.02;0.0;0.0
Other parties from German-speaking electoral college;Belgium;69.66;0.0;0.0
Other parties from German-speaking electoral college;;3.02;0.0;0.0
Other parties from German-speaking electoral college;;69.66;0.0;0.0
PARTEI MENSCH UMWELT TIERSCHUTZ;Germany;1.2;-1.0;-1.2
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Germany;0.6;0.0;0.0
Parti Socialiste;Belgium;29.29;-1.5;-43.935
Parti Socialiste;Belgium;10.68;-1.5;-16.02
Parti Socialiste;;29.29;-1.5;-43.935
Parti Socialiste;;10.68;-1.5;-16.02
Parti Socialiste - Parti radical de gauche;France;13.98;-1.5;-20.97
Partido Popular;Spain;26.09;1.5;39.135
Partido Socialista;Portugal;34.01;-1.5;-51.015
Partido Socialista Obrero Español + Partit dels Socialistes de Catalunya;Spain;23.01;-1.5;-34.515
Partido da Terra;Portugal;7.72;-1.0;-7.72
Partidul Democrat Liberal;Romania;12.23;1.0;12.23
Partidul Mișcarea Populară;Romania;6.21;1.0;6.21
Partidul Naţional Liberal;Romania;15.0;1.0;15.0
Partij van de Arbeid;Netherlands;9.4;-1.5;-14.100000000000001
Partij voor de Dieren;Netherlands;4.21;-1.0;-4.21
Partij voor de Vrijheid;Netherlands;13.32;2.0;26.64
Partija 'VIENOTĪBA';Latvia;46.19;1.0;46.19
Partija Tvarka ir teisingumas;Lithuania;14.25;1.5;21.375
Partit Laburista;Malta;53.39;-1.0;-53.39
Partit Nazzjonalista;Malta;40.02;1.0;40.02
Partito Democratico;Italy;40.81;-0.5;-20.405
Perussuomalaiset/Sannfinländarna;Finland;12.9;2.0;25.8
Piratenpartei Deutschland;Germany;1.4;-0.5;-0.7
Plaid Cymru - Party of Wales;;0.69;-0.5;-0.345
Plaid Cymru - Party of Wales;;0.71;-0.5;-0.355
Plaid Cymru - Party of Wales;United Kingdom;0.69;-0.5;-0.345
Plaid Cymru - Party of Wales;United Kingdom;0.71;-0.5;-0.355
Platforma Obywatelska;Poland;32.13;1.0;32.13
Polskie Stronnictwo Ludowe;Poland;6.8;-0.5;-3.4
Por la Democracia Social;Spain;7.98;-1.0;-7.98
Prawo i Sprawiedliwość;Poland;31.78;1.5;47.67
Radikale Venstre;Denmark;6.5;-0.5;-3.25
SMER - Sociálna demokracia;Slovakia;24.09;-1.5;-36.135
Saskaņa sociāldemokrātiskā partija;Latvia;13.04;-1.5;-19.56
Scottish National Party;;2.4;-0.5;-1.2
Scottish National Party;;2.46;-0.5;-1.23
Scottish National Party;United Kingdom;2.4;-0.5;-1.2
Scottish National Party;United Kingdom;2.46;-0.5;-1.23
Sinn Fein;;0.66;-1.5;-0.99
Sinn Fein;;25.52;-1.5;-38.28
Sinn Fein;Nicaragua;0.66;-1.5;-0.99
Sinn Fein;Nicaragua;25.52;-1.5;-38.28
Sinn Féin;Ireland;19.52;-1.5;-29.28
Sloboda a Solidarita;Slovakia;6.66;1.0;6.66
Slovenska demokratska stranka;Slovenia;24.88;1.0;24.88
Slovenská demokratická a kresťanská únia - Demokratická strana;Slovakia;7.75;1.0;7.75
Socialdemokratiet;Denmark;19.1;-1.5;-28.650000000000002
Socialistische Partij;Netherlands;9.6;-2.0;-19.2
Socialistische Partij - Anders;Belgium;8.3;-1.5;-12.450000000000001
Socialistische Partij - Anders;Belgium;13.18;-1.5;-19.77
Socialistische Partij - Anders;;8.3;-1.5;-12.450000000000001
Socialistische Partij - Anders;;13.18;-1.5;-19.77
Socialistisk Folkeparti;Denmark;11.0;-1.5;-16.5
Socialni demokrati;Slovenia;8.02;-1.5;-12.03
Socijaldemokratska partija Hrvatske + Hrvatska narodna stranka + Istarski demokratski sabor ;Croatia;29.93;;
Sotsiaaldemokraatlik Erakond;Estonia;13.6;-1.5;-20.4
Sozialdemokratische Partei Deutschlands;Germany;27.3;-1.5;-40.95
Sozialdemokratische Partei Österreichs;Austria;24.09;-1.5;-36.135
Strana mad'arskej komunity - Magyar Közösség Pártja;Slovakia;6.53;0.5;3.265
Strana svobodných občanů;Czechia;5.24;1.5;7.86
Suomen Keskusta/Centern i Finland;Finland;19.7;-0.5;-9.85
Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti;Finland;12.3;-1.5;-18.450000000000003
Svenska folkpartiet i Finland/Suomen ruotsalainen kansanpuolue;Finland;6.8;1.0;6.8
Sverigedemokraterna;Sweden;9.67;2.0;19.34
Südtiroler Volkspartei (Partito popolare sudtirolese);Italy;0.5;0.5;0.25
Tėvynės sąjunga - Lietuvos krikščionys demokratai;Lithuania;17.43;1.0;17.43
Ulster Unionist Party;;0.35;1.5;0.5249999999999999
Ulster Unionist Party;;13.33;1.5;19.995
Ulster Unionist Party;Nicaragua;0.35;1.5;0.5249999999999999
Ulster Unionist Party;Nicaragua;13.33;1.5;19.995
Union pour les Outre-Mer;France;0.0;0.0;0.0
Union pour un Mouvement Populaire;France;20.81;1.0;20.81
United Kingdom Independence Party;;26.77;2.0;53.54
United Kingdom Independence Party;;27.49;2.0;54.98
United Kingdom Independence Party;United Kingdom;26.77;2.0;53.54
United Kingdom Independence Party;United Kingdom;27.49;2.0;54.98
Uniunea Democrată Maghiară din România;Romania;6.3;0.5;3.15
Unión Progreso y Democracia;Spain;6.51;0.5;3.255
Vasemmistoliitto/Vänsterförbundet;Finland;9.3;-2.0;-18.6
Venstre, Danmarks Liberale Parti;Denmark;16.7;1.0;16.7
Verjamem;Slovenia;10.46;0.0;0.0
Vihreä liitto/Gröna förbundet;Finland;9.3;-1.0;-9.3
Vlaams Belang;Belgium;4.26;2.0;8.52
Vlaams Belang;Belgium;6.76;2.0;13.52
Vlaams Belang;;4.26;2.0;8.52
Vlaams Belang;;6.76;2.0;13.52
Volkspartij voor Vrijheid en Democratie;Netherlands;12.02;1.0;12.02
Vänsterpartiet;Sweden;6.3;-2.0;-12.6
déi gréng/les verts;Luxembourg;15.01;-1.0;-15.01
 Det Konservative Folkeparti;Denmark;9.1;;
 България без цензура (ББЦ) + Вътрешна македонска революционна организация-Българско национално движение + Гергьовден (ВМРО-БНД) +Земеделски народен съюз (ЗНС);Bulgaria;10.66;;
Ökologisch-Demokratische Partei;Germany;0.6;-1.0;-0.6
Österreichische Volkspartei;Austria;26.98;1.0;26.98
Česká strana sociálně demokratická;Czechia;14.17;-1.5;-21.255
Ανεξάρτητοι Έλληνες;;3.46;1.5;5.1899999999999995
Ανορθωτικό Κόμμα Εργαζόμενου Λαού;Cyprus;26.98;-1.5;-40.47
Δημοκρατικό Κόμμα;Cyprus;10.83;1.0;10.83
Δημοκρατικός Συναγερμός;Cyprus;37.75;1.0;37.75
ΕΔΕΚ Κίνημα Σοσιαλδημοκρατών;Cyprus;7.68;-1.5;-11.52
Ελιά-Δημοκρατική Παράταξη;;8.02;-1.5;-12.03
Κομμουνιστικό Κόμμα Ελλάδας;;6.11;-2.0;-12.22
Νέα Δημοκρατία;;22.72;1.0;22.72
Συνασπισμός Ριζοσπαστικής Αριστεράς;;26.57;-2.0;-53.14
Το ποτάμι;;6.6;-0.5;-3.3
Χρυσή Αυγή;;9.39;2.0;18.78
Граждани за европейско развитие;Bulgaria;30.4;;
Движение за права и свободи;Bulgaria;17.27;-0.5;-8.635
за България;Bulgaria;18.93;;
